id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,color,size,identifier_exists
018-055,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 5.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,5.5,no
018-060,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 6","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,6,no
018-065,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 6.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,6.5,no
018-070,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 7","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,7,no
018-075,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 7.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,7.5,no
018-080,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 8","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,8,no
018-085,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 8.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,8.5,no
018-090,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 9","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,9,no
018-095,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 9.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,9.5,no
018-100,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 10","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,10,no
018-105,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 10.5","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,10.5,no
018-110,"Bota de trabajo Rhino de agujetas con punta de mocasín, café, talla 11","🥾 Bota de trabajo Rhino punta de mocasín — clásica, cómoda y para toda la temporada

Corte alto con agujetas y ojales de latón, cuero curtido al aceite y suela cosida tipo Goodyear. Suela de cuña resistente al aceite que no marca el piso y amortigua al caminar sobre concreto.

✅ Cuero curtido al aceite
✅ Punta de mocasín reforzada
✅ Suela cosida tipo Goodyear
✅ Suela de cuña resistente al aceite
✅ Ojales de latón

Color café. Tallas de la 5 a la 11, incluyendo medias tallas. Para carpintería, techos y obra en general. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/018.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/37.2.jpg",Forza WorkGear,018,Café,11,no
020,Clavadora neumática de rollo para techo Zeluga 15 grados 28-145,"🔩 Clavadora de rollo para techo Zeluga 28-145 — ponle ritmo al retecho

Clavadora neumática de rollo a 15 grados para clavo de 3/4 a 1-3/4 de pulgada, con capacidad de 120 clavos por carga. Cuerpo de aluminio tratado térmicamente: fuerte, pero de solo 2.75 kilos para que no te canse el brazo.

✅ Clavo de 3/4 a 1-3/4 de pulgada
✅ Capacidad de 120 clavos
✅ Aluminio tratado térmicamente
✅ Peso ligero de 2.75 kilos
✅ Presión de operación de 70 a 110 PSI

Para teja, cubiertas de madera, aislante, recubrimiento de vinil y fibrocemento. 💪",in stock,new,240.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/020.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/42.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/42.1.jpg,Forza WorkGear,,,,no
021,Clavadora neumática estructural Zeluga 28-512,"🔩 Clavadora neumática estructural Zeluga 28-512 — para armar estructura rápido y parejo

Cargador angulado de aluminio endurecido que mantiene el balance de la herramienta aun cargada, gatillo de disparo simple y por golpe, y mecanismo de seguridad de una sola pieza.

✅ Cargador de aluminio endurecido
✅ Disparo simple y por golpe
✅ Mecanismo de seguridad de una pieza
✅ Balance para trabajo continuo
✅ Un año de garantía limitada

Para armar muros, entrepisos y estructura de madera. 💪",in stock,new,250.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/021.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/43.jpg,,Forza WorkGear,,,,no
023-azul,"Manguera de aire Coilhose Flexeel reforzada 1/4 x 100 pies, azul","💨 Manguera Coilhose Flexeel en azul — la original, y se nota

Manguera de aire reforzada de 1/4 por 100 pies, hasta 50% más ligera que una de hule y flexible incluso bajo cero. Resiste abrasión, aceites y grasas mucho mejor que el PVC o el hule común.

✅ Hasta 50% más ligera que el hule
✅ Flexible en temperaturas bajo cero
✅ Resiste aceites y grasas
✅ 200 PSI a 70 grados F
✅ Rango de -40 a 165 grados F

Color azul. Modelo PFEA1004T. 💪",in stock,new,120.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/023.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.jpg,,Forza WorkGear,023,Azul,,no
023-rojo,"Manguera de aire Coilhose Flexeel reforzada 1/4 x 100 pies, roja","💨 Manguera Coilhose Flexeel en rojo — la original, y se nota

Manguera de aire reforzada de 1/4 por 100 pies, hasta 50% más ligera que una de hule y flexible incluso bajo cero. Resiste abrasión, aceites y grasas mucho mejor que el PVC o el hule común.

✅ Hasta 50% más ligera que el hule
✅ Flexible en temperaturas bajo cero
✅ Resiste aceites y grasas
✅ 200 PSI a 70 grados F
✅ Rango de -40 a 165 grados F

Color rojo. Modelo PFEA1004TR. 💪",in stock,new,120.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/023.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.1.jpg,,Forza WorkGear,023,Rojo,,no
023-amarillo,"Manguera de aire Coilhose Flexeel reforzada 1/4 x 100 pies, amarilla","💨 Manguera Coilhose Flexeel en amarillo — la original, y se nota

Manguera de aire reforzada de 1/4 por 100 pies, hasta 50% más ligera que una de hule y flexible incluso bajo cero. Resiste abrasión, aceites y grasas mucho mejor que el PVC o el hule común.

✅ Hasta 50% más ligera que el hule
✅ Flexible en temperaturas bajo cero
✅ Resiste aceites y grasas
✅ 200 PSI a 70 grados F
✅ Amarillo visible en piso de obra

Color amarillo. Modelo PFE41004TY. 💪",in stock,new,120.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/023.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/46.2.jpg,,Forza WorkGear,023,Amarillo,,no
027,Set de cinturón portaherramientas Zeluga en lona negra y cuero,"🧰 Set de cinturón portaherramientas Zeluga en lona negra — resistencia sin el peso del cuero

Dos bolsas en lona encerada negra con refuerzos y ribete de cuero color vino, porta martillo, porta cinta métrica de acero y cinturón de cuero con hebilla de acero.

✅ Lona encerada resistente al agua
✅ Refuerzos y ribete de cuero
✅ Porta martillo y porta cinta
✅ Cinturón de cuero con hebilla de acero
✅ Costura doble y remaches de tensión

Para uso rudo diario en construcción y remodelación. 💪",in stock,new,189.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/027.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/61.2.jpg",Forza WorkGear,,,,no
028,Cinturón portaherramientas Zeluga de poliéster con tirantes,"🧰 Set portaherramientas Zeluga de poliéster — ligero, lavable y de alta visibilidad

Cinturón acolchado con ojales metálicos, dos bolsas con bolsillos ribeteados en naranja de alta visibilidad, porta martillo y tirantes acolchados desmontables. Encuentras la herramienta de un vistazo.

✅ Poliéster resistente y lavable
✅ Interiores naranja de alta visibilidad
✅ Tirantes acolchados desmontables
✅ Cinturón acolchado con ojales metálicos
✅ Porta martillo y bolsillos organizadores

Mucho más ligero que un set de cuero. 💪",in stock,new,135.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/028.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/68.3.jpg",Forza WorkGear,,,,no
029,Arnés de cuerpo completo Zeluga para trabajo en altura,"🦺 Arnés de cuerpo completo Zeluga — porque de altura no se regresa dos veces

Argolla dorsal en D, argollas laterales y frontal para posicionamiento, hombreras y cinturón acolchados que reparten la carga, y hebillas ajustables en piernas y pecho para que quede a tu medida.

✅ Argolla dorsal en D de acero
✅ Argollas laterales y frontal
✅ Hombreras y cinturón acolchados
✅ Ajuste en piernas y pecho
✅ Cintas de alta resistencia

Para trabajo en altura, andamio, torre y rescate. 💪",in stock,new,135.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/029.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/79.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/79.1.jpg,Forza WorkGear,,,,no
030-natural,"Funda de cuero para electricista Zeluga 20-169, color natural","🧰 Funda de cuero para electricista Zeluga 20-169 — cuero natural que se cura con el uso

Cuero natural sin teñir con tapa protectora, múltiples bolsillos y divisiones para desarmadores y pinzas, porta cinta métrica de acero, gancho giratorio y presilla ancha para cinturón.

✅ Cuero natural de uso rudo
✅ Tapa protectora
✅ Múltiples compartimentos
✅ Porta cinta métrica de acero
✅ Gancho giratorio reforzado

Color natural, que se oscurece parejo conforme lo usas. 💪",in stock,new,50.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/030.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.jpg,,Forza WorkGear,030,Natural,,no
030-cafe,"Funda de cuero para electricista Zeluga 20-169, color café","🧰 Funda de cuero para electricista Zeluga 20-169 — cuero café, listo para usarse

Cuero teñido color café con tapa protectora, múltiples bolsillos y divisiones para desarmadores y pinzas, porta cinta métrica de acero, gancho giratorio y presilla ancha para cinturón.

✅ Cuero genuino de uso rudo
✅ Tapa protectora
✅ Múltiples compartimentos
✅ Porta cinta métrica de acero
✅ Gancho giratorio reforzado

Color café, que no se marca tanto con el uso diario. 💪",in stock,new,50.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/030.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/81.1.jpg,Forza WorkGear,030,Café,,no
033,Set de cinturón portaherramientas de cuero café Zeluga,"🧰 Set de cinturón portaherramientas de cuero café Zeluga — el equipo completo

Dos bolsas de cuero gamuza con tapa de cuero liso, porta martillo metálico, porta cinta métrica y cinturón ajustable. Múltiples bolsillos de distintos tamaños y remaches en cada punto de tensión.

✅ Cuero gamuza de uso rudo
✅ Tapas de cuero liso protectoras
✅ Porta martillo metálico
✅ Múltiples compartimentos
✅ Cinturón ajustable

Para carpintería, construcción y remodelación. 💪",in stock,new,95.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/033.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/91.jpg,,Forza WorkGear,,,,no
034,Pala quita tejas dentada con mango tipo D,"🏠 Pala quita tejas dentada — levanta teja y clavo de un solo tirón

Cabeza de acero con dientes que atrapan la cabeza del clavo y punto de apoyo reforzado que hace palanca por ti. Mango con agarradera tipo D para jalar con las dos manos sin que se te resbale.

✅ Cabeza de acero dentada
✅ Punto de apoyo reforzado
✅ Agarradera tipo D
✅ Saca teja y clavos juntos
✅ Acabado naranja de alta visibilidad

La herramienta que hace rápido un retecho. 💪",in stock,new,65.00 USD,https://partnerpathai-tx.github.io/catalogo-productos-forza-workgear/p/034.html,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/92.2.jpg",Forza WorkGear,,,,no
